activo,peso
TSLA,0.5550293027027084
XOM,0.24864240145008357
MSFT,0.19632829584720793
V,1.4986881082346542e-16
AMZN,5.3950142586859384e-17
KO,5.117388524154826e-17
AAPL,-2.7755575615628914e-17
JNJ,-4.456793415744825e-17
PG,-6.012025255723643e-17
JPM,-8.931331921764514e-17
